"Input","Output"
"Find the nearest hospital.","<soren>
	<fragment>
		I need to locate the nearest hospital to the user's current location. I'll get their location.
		<tool id=[get_location]>
			<get_location output> // returns coordinates or address
		</tool>
		Now I'll search for hospitals near <get_location output>.
		<tool id=[map_search] params=[query='hospital', location=<get_location output>]>
			<map_search output> // returns list of nearby hospitals
		</tool>
		I'll provide directions to the nearest one.
		<tool id=[directions] params=[destination=<map_search output>[0], origin=<get_location output>]>
			<directions output> // returns directions
		</tool>
	</fragment>
	<output>
		Here are the directions to the nearest hospital: <directions output>.
	</output>
</soren>"
"How do you say 'thank you' in Spanish?","<soren>
	<fragment>
		I need to translate 'thank you' into Spanish. I'll use the translation tool.
		<tool id=[translator] params=[text='thank you', target_language='Spanish']>
			<translator output> // returns 'gracias'
		</tool>
	</fragment>
	<output>
		'Thank you' in Spanish is <translator output>.
	</output>
</soren>"
"Book a table for two at an Italian restaurant tonight.","<soren>
	<fragment>
		I need to find an Italian restaurant with availability for two tonight. I'll search for options.
		<tool id=[restaurant_reservation] params=[cuisine='Italian', party_size=2, date='tonight']>
			<restaurant_reservation output> // returns reservation details
		</tool>
	</fragment>
	<output>
		Table for two booked at <restaurant_reservation output>.
	</output>
</soren>"
"What's 15% of 200?","<soren>
	<fragment>
		I need to calculate 15% of 200. I'll use the calculator.
		<tool id=[calculator] params=[expression='0.15 * 200']>
			<calculator output> // returns the result
		</tool>
	</fragment>
	<output>
		15% of 200 is <calculator output>.
	</output>
</soren>"
"Tell me the latest news headlines.","<soren>
	<fragment>
		I need to fetch the latest news headlines. I'll use the news API.
		<tool id=[news_api] params=[category='general', max_results=5]>
			<news_api output> // returns list of headlines
		</tool>
	</fragment>
	<output>
		Here are the latest news headlines: <news_api output>.
	</output>
</soren>"
"What's the distance between Earth and Mars?","<soren>
	<fragment>
		I need to find the current distance between Earth and Mars. I'll query the space data API.
		<tool id=[space_data_api] params=[bodies='Earth,Mars']>
			<space_data_api output> // returns distance
		</tool>
	</fragment>
	<output>
		The current distance between Earth and Mars is <space_data_api output>.
	</output>
</soren>"
"Create a to-do list for today.","<soren>
	<fragment>
		I need to create a new to-do list for today. I'll initialize the list.
		<tool id=[create_todo_list] params=[date='today']>
			<create_todo_list output> // confirmation
		</tool>
	</fragment>
	<output>
		To-do list for today has been created.
	</output>
</soren>"
"Remind me to water the plants every Monday.","<soren>
	<fragment>
		I need to set a recurring reminder to water the plants every Monday. I'll set up the reminder.
		<tool id=[set_recurring_reminder] params=[day='Monday', message='Water the plants']>
			<set_recurring_reminder output> // confirmation
		</tool>
	</fragment>
	<output>
		Recurring reminder set to water the plants every Monday.
	</output>
</soren>"
"Find a nearby coffee shop that's open now.","<soren>
	<fragment>
		I need to find a coffee shop near the user's location that's currently open. I'll get their location.
		<tool id=[get_location]>
			<get_location output> // returns coordinates or address
		</tool>
		Now I'll search for coffee shops near <get_location output> that are open now.
		<tool id=[map_search] params=[query='coffee shop', location=<get_location output>, open_now=true]>
			<map_search output> // returns list of coffee shops
		</tool>
	</fragment>
	<output>
		Here are some coffee shops near you that are open now: <map_search output>.
	</output>
</soren>"
"What's the population of Canada?","<soren>
	<fragment>
		I need to find out the population of Canada. I'll query the demographic database.
		<tool id=[demographics_api] params=[country='Canada']>
			<demographics_api output> // returns population data
		</tool>
	</fragment>
	<output>
		The population of Canada is <demographics_api output>.
	</output>
</soren>"
"Translate 'I love you' into German.","<soren>
	<fragment>
		I need to translate 'I love you' into German. I'll use the translation tool.
		<tool id=[translator] params=[text='I love you', target_language='German']>
			<translator output> // returns 'Ich liebe dich'
		</tool>
	</fragment>
	<output>
		'I love you' in German is <translator output>.
	</output>
</soren>"
